ds,yhat,yhat_lower,yhat_upper
2017-10-16,6047.6330636358125,-706.9516707094955,13001.314948260335
2017-10-17,6179.423808772026,-350.17350036089084,13570.343684902338
2017-10-18,6433.7716019625905,-388.3492066471259,13025.915718063447
2017-10-19,6485.1345837621575,39.92709181541854,12887.57014193918
2017-10-20,6686.01835388692,-434.39908691482407,13454.264742133573
2017-10-21,6841.956508124899,478.01906528892926,13662.039495107543
2017-10-22,6986.402946440807,290.5083899165228,13461.94240199924
2017-10-23,7196.033791326565,490.1953402062646,13849.544248555914
2017-10-24,7323.311915104512,799.0078192519474,14152.569950057006
2017-10-25,7566.235144729248,665.5252204851437,14269.223677924323
2017-10-26,7599.550110034018,491.95011687002625,14275.50663038914
2017-10-27,7776.1904594317675,752.0967315164078,14245.891943652117
2017-10-28,7902.249228938461,910.4263376313,14690.189466361957
2017-10-29,8011.858979351882,1270.3396616346313,14564.126225612368
2017-10-30,8182.477814579528,1240.7149389028912,15056.287102062688
2017-10-31,8267.434675881941,1444.9293330184382,14943.865104961518
2017-11-01,8465.65548862034,1174.377063844016,14937.677395962131
2017-11-02,8452.852733815615,2270.911265195011,14702.257024291686
2017-11-03,8582.937856041994,1597.224619768712,15652.86341587965
2017-11-04,8662.967042371287,2111.14738158787,15819.298153719907
2017-11-05,8727.994775106423,1394.639854652366,15594.414829699992
2017-11-06,8856.334074588254,1874.358693103972,15665.304871964601
2017-11-07,8902.077620766633,1510.8680322413568,15364.711299112698
2017-11-08,9064.80208995955,2511.0905630737066,15843.969988513669
2017-11-09,9020.738980676273,2415.702779570094,16305.999125761902
2017-11-10,9124.171960590324,2528.916292537467,15590.380839862299
2017-11-11,9182.37178832116,2433.78638372313,15941.732158470404
2017-11-12,9230.44361227725,2286.3144628445143,16150.696583364108
2017-11-13,9346.585828478059,2551.5300632255103,16177.176817092479
2017-11-14,9384.614807305756,2910.243408874423,16003.044237161419
2017-11-15,9543.677795484135,2944.7765504223694,16909.851335609066
2017-11-16,9499.437089076284,3132.117178591465,16166.871904324253
2017-11-17,9605.485171043994,2326.275678268872,16054.659399564529
2017-11-18,9668.301401342898,2630.845771583179,16041.268296196276
2017-11-19,9722.124455283305,3092.085710022984,16055.22466303652
